연월,행정구,외국인 방문자 수,외지인 방문자 수,현지인 방문자 수,전체 수
202512,남구,141082,2838112,4458450,7437644
202512,동구,179750,3263110,1509907,4952767
202512,동래구,19026,3696942,4715781,8431749
202512,부산진구,215968,6890544,6837138,13943650
202512,북구,16716,2112506,4800596,6929818
202512,사상구,46353,2481608,2856623,5384584
202512,사하구,75482,2069196,4773598,6918276
202512,서구,155429,1787986,1723354,3666769
202512,수영구,120465,3566941,3143672,6831078
202512,연제구,29142,2804970,2364772,5198884
202512,영도구,147361,1561122,1945622,3654105
202512,중구,212762,3661060,1243554,5117376
202512,해운대구,327044,6432948,7742077,14502069
202601,강서구,447630,3826466,2938232,7212328
202601,금정구,23547,2367796,3588568,5979911
202601,기장군,108921,3370468,3191748,6671137
202601,남구,127295,2666688,4243214,7037197
202601,동구,140489,3170234,1504055,4814778
202601,동래구,15441,3512554,4569450,8097445
202601,부산진구,188708,6543162,6674686,13406556
202601,북구,13162,2029258,4623874,6666294
202601,사상구,38167,2316629,2732499,5087295
202601,사하구,63784,2001038,4583453,6648275
202601,서구,129163,1707982,1656550,3493695
202601,수영구,94969,3484590,3018575,6598134
202601,연제구,24553,2704958,2305292,5034803
202601,영도구,161792,1507600,1828144,3497536
202601,중구,173092,3316478,1222032,4711602
202601,해운대구,265864,6037584,7599078,13902526
202602,강서구,464277,3608164,2547342,6619783
202602,금정구,26582,2499945,3170419,5696946
202602,기장군,143829,3503468,2879079,6526376
202602,남구,153897,2596058,3699798,6449753
202602,동구,172334,3006196,1335428,4513958
202602,동래구,17148,3405350,4054264,7476762
202602,부산진구,240210,6224575,5958477,12423262
202602,북구,13930,2113699,4199944,6327573
202602,사상구,44765,2312275,2418010,4775050
202602,사하구,74916,2062616,4072512,6210044
202602,서구,164788,1728668,1517730,3411186
202602,수영구,117133,3376362,2685868,6179363
202602,연제구,23779,2585513,2006347,4615639
202602,영도구,199452,1556366,1654324,3410142
202602,중구,212895,3206242,1099242,4518379
202602,해운대구,349588,5876416,6787210,13013214
202603,강서구,544952,3944602,3043974,7533528
202603,금정구,39964,3078918,3689588,6808470
202603,기장군,188665,3419241,3285020,6892926
202603,남구,224524,3241220,4232742,7698486
202603,동구,236843,3201958,1567181,5005982
202603,동래구,25845,3611181,4583159,8220185
202603,부산진구,317003,6622592,6696732,13636327
202603,북구,18410,2161366,4744019,6923795
202603,사상구,82460,2792842,2867980,5743282
202603,사하구,105800,2290390,4641595,7037785
202603,서구,211206,1925924,1712574,3849704
202603,수영구,168859,3459785,3126249,6754893
202603,연제구,30759,2832193,2256216,5119168
202603,영도구,271715,1683815,1910146,3865676
202603,중구,312989,3425422,1224170,4962581
202603,해운대구,444749,5866066,7655266,13966081
202604,강서구,579512,3721028,2907796,7208336
202604,금정구,49026,2337528,3466883,5853437
202604,기장군,227512,3262760,3147739,6638011
202604,남구,249431,2505836,4004108,6759375
