행정구명,사업장명,업태구분명,영업상태명,인허가일자,폐업일자,도로명주소,지번주소,경도,위도
해운대구,센텀프리미어호텔,일반호텔,영업,202308,,"부산광역시 해운대구 센텀1로 17, 센텀프리미어호텔 (우동)",부산광역시 해운대구 우동 1521 센텀프리미어호텔,129.1315947,35.16693706
수영구,보다스테이 1호점,숙박업(생활),영업,202308,,"부산광역시 수영구 민락수변로 125, 골든뷰 10층 (민락동)",부산광역시 수영구 민락동 110-87 골든뷰,129.1340572,35.15526712
수영구,감성온도광안,숙박업(생활),영업,202308,,"부산광역시 수영구 광안해변로344번길 17-5, 마린리치 7층 (민락동)",부산광역시 수영구 민락동 110-42 마린리치,129.1310297,35.15518199
중구,코티스 앰버서더 그라운드,숙박업(생활),영업,202308,,부산광역시 중구 중구로5번길 14 (남포동6가),부산광역시 중구 남포동6가 99,129.0265334,35.09826326
기장군,이제 부산,관광호텔,영업,202308,,"부산광역시 기장군 기장읍 연화길 70, 1~8층",부산광역시 기장군 기장읍 연화리 111-1,129.2267455,35.21977642
강서구,에어스카이 관광호텔,관광호텔,영업,202308,,"부산광역시 강서구 유통단지1로57번길 2, 에어스카이 관광호텔 (대저2동)",부산광역시 강서구 대저2동 3148-9 에어스카이 관광호텔,128.9542679,35.16675176
수영구,머물다가 광안 수변공원점,숙박업(생활),영업,202308,,"부산광역시 수영구 민락수변로 105, 바다산책프라자 5층 (민락동)",부산광역시 수영구 민락동 110-48 바다산책프라자,129.1320741,35.15473437
서구,윈덤그랜드부산,관광호텔,영업,202307,,"부산광역시 서구 등대로 27, 힐스테이트이진베이시티아파트 호텔동 7~27층 (암남동)",부산광역시 서구 암남동 123-15,129.0235974,35.07812717
수영구,STAY고우담광안점,숙박업(생활),영업,202307,,"부산광역시 수영구 남천바다로 13, 2층 (광안동)",부산광역시 수영구 광안동 188-4,129.1123068,35.14981179
기장군,빌라쥬드 아난티 빌라동,휴양콘도미니엄업,영업,202307,,"부산광역시 기장군 기장읍 기장해안로 267-17, 스프링하우스맨션, 풀하우스맨션, 매너하우스 1-3층",부산광역시 기장군 기장읍 시랑리 732,129.2200127,35.20210076
