기준연월,지역,외국인 방문자 수,구분
202401,동래구,12546,외국인 방문자
202401,남구,80265,외국인 방문자
202401,북구,12862,외국인 방문자
202401,해운대구,126553,외국인 방문자
202401,사하구,68800,외국인 방문자
202401,금정구,19690,외국인 방문자
202401,강서구,226453,외국인 방문자
202401,연제구,24669,외국인 방문자
202401,수영구,37564,외국인 방문자
202401,사상구,25271,외국인 방문자
202401,기장군,85268,외국인 방문자
202312,중구,151456,외국인 방문자
202312,서구,92705,외국인 방문자
202312,동구,117603,외국인 방문자
202312,영도구,96372,외국인 방문자
202312,부산진구,124542,외국인 방문자
202312,동래구,12114,외국인 방문자
202312,남구,92804,외국인 방문자
202312,북구,13990,외국인 방문자
202312,해운대구,154263,외국인 방문자
202312,사하구,86438,외국인 방문자
202312,금정구,24751,외국인 방문자
202312,강서구,236585,외국인 방문자
202312,연제구,21137,외국인 방문자
202312,수영구,45566,외국인 방문자
202312,사상구,27289,외국인 방문자
202312,기장군,98421,외국인 방문자
202311,중구,187783,외국인 방문자
202311,서구,110665,외국인 방문자
202311,동구,150498,외국인 방문자
202311,영도구,130366,외국인 방문자
202311,부산진구,158846,외국인 방문자
202311,동래구,19060,외국인 방문자
202311,남구,125690,외국인 방문자
202311,북구,15475,외국인 방문자
202311,해운대구,203472,외국인 방문자
202311,사하구,98613,외국인 방문자
202311,금정구,38242,외국인 방문자
202311,강서구,265238,외국인 방문자
202311,연제구,29096,외국인 방문자
202311,수영구,66350,외국인 방문자
202311,사상구,35331,외국인 방문자
202311,기장군,113540,외국인 방문자
202310,중구,216902,외국인 방문자
202310,서구,132068,외국인 방문자
202310,동구,182999,외국인 방문자
202310,영도구,179541,외국인 방문자
202310,부산진구,183008,외국인 방문자
202310,동래구,21002,외국인 방문자
202310,남구,166076,외국인 방문자
202310,북구,16047,외국인 방문자
202310,해운대구,280030,외국인 방문자
202310,사하구,117741,외국인 방문자
202310,금정구,44259,외국인 방문자
202310,강서구,308542,외국인 방문자
202310,연제구,30753,외국인 방문자
202310,수영구,85788,외국인 방문자
202310,사상구,41635,외국인 방문자
202310,기장군,147329,외국인 방문자
202309,중구,187681,외국인 방문자
202309,서구,115238,외국인 방문자
202309,동구,138163,외국인 방문자
202309,영도구,146936,외국인 방문자
202309,부산진구,167131,외국인 방문자
202309,동래구,15146,외국인 방문자
202309,남구,117526,외국인 방문자
202309,북구,16702,외국인 방문자
202309,해운대구,221263,외국인 방문자
202309,사하구,98604,외국인 방문자
202309,금정구,36534,외국인 방문자
202309,강서구,279564,외국인 방문자
202309,연제구,27910,외국인 방문자
202309,수영구,65425,외국인 방문자
202309,사상구,40670,외국인 방문자
202309,기장군,121791,외국인 방문자
202308,중구,166161,외국인 방문자
202308,서구,97266,외국인 방문자
202308,동구,127809,외국인 방문자
202308,영도구,148060,외국인 방문자
202308,부산진구,146520,외국인 방문자
202308,동래구,18657,외국인 방문자
202308,남구,102546,외국인 방문자
202308,북구,19773,외국인 방문자
202308,해운대구,188711,외국인 방문자
202308,사하구,88841,외국인 방문자
202308,금정구,30722,외국인 방문자
202308,강서구,259951,외국인 방문자
202308,연제구,30784,외국인 방문자
202308,수영구,54871,외국인 방문자
202308,사상구,33547,외국인 방문자
202308,기장군,117773,외국인 방문자
202307,중구,142931,외국인 방문자
202307,서구,89516,외국인 방문자
202307,동구,111755,외국인 방문자
202307,영도구,119671,외국인 방문자
202307,부산진구,131426,외국인 방문자
202307,동래구,17031,외국인 방문자
