기준연월,기초지자체,방문자 수,구분
202503,부산진구,6375526,외지인 방문자
202503,북구,2141139,외지인 방문자
202503,사상구,2612914,외지인 방문자
202503,사하구,2246699,외지인 방문자
202503,서구,1811635,외지인 방문자
202503,수영구,3148170,외지인 방문자
202503,연제구,2764080,외지인 방문자
202503,영도구,1579728,외지인 방문자
202503,중구,3258675,외지인 방문자
202503,해운대구,5662184,외지인 방문자
202505,강서구,3815567,외지인 방문자
202505,금정구,2783784,외지인 방문자
202505,기장군,3903616,외지인 방문자
202505,남구,2794306,외지인 방문자
202505,동구,3432566,외지인 방문자
202505,동래구,3871718,외지인 방문자
202505,부산진구,6572948,외지인 방문자
202505,북구,2357383,외지인 방문자
202505,사상구,2543863,외지인 방문자
202505,사하구,2286638,외지인 방문자
202505,서구,1869452,외지인 방문자
202505,수영구,3655295,외지인 방문자
202505,연제구,2837303,외지인 방문자
202505,영도구,1725724,외지인 방문자
202505,중구,3629028,외지인 방문자
202505,해운대구,6387266,외지인 방문자
202506,강서구,3590814,외지인 방문자
202506,금정구,2426602,외지인 방문자
202506,기장군,3414898,외지인 방문자
202506,남구,2603139,외지인 방문자
202506,동구,3235068,외지인 방문자
202506,동래구,3533736,외지인 방문자
202506,부산진구,6122697,외지인 방문자
202506,북구,2071822,외지인 방문자
202506,사상구,2321330,외지인 방문자
202506,사하구,2014456,외지인 방문자
202506,서구,1750707,외지인 방문자
202506,수영구,3305260,외지인 방문자
202506,연제구,2624752,외지인 방문자
202506,영도구,1549688,외지인 방문자
202506,중구,3320429,외지인 방문자
202506,해운대구,5867960,외지인 방문자
202507,강서구,3742770,외지인 방문자
202507,금정구,2504750,외지인 방문자
202507,기장군,3473278,외지인 방문자
202507,남구,2694727,외지인 방문자
202507,동구,3650034,외지인 방문자
202507,동래구,3752262,외지인 방문자
202507,부산진구,6542669,외지인 방문자
202507,북구,2133624,외지인 방문자
202507,사상구,2435342,외지인 방문자
202507,사하구,2160378,외지인 방문자
202507,서구,1852288,외지인 방문자
202507,수영구,3736814,외지인 방문자
202507,연제구,2826268,외지인 방문자
202507,영도구,1543738,외지인 방문자
202507,중구,3446044,외지인 방문자
202507,해운대구,6604462,외지인 방문자
202508,강서구,3807086,외지인 방문자
202508,금정구,2472978,외지인 방문자
202508,기장군,3835965,외지인 방문자
202508,남구,2706316,외지인 방문자
202508,동구,3672070,외지인 방문자
202508,동래구,3693652,외지인 방문자
202508,부산진구,6627425,외지인 방문자
202508,북구,2133747,외지인 방문자
202508,사상구,2418444,외지인 방문자
202508,사하구,2197122,외지인 방문자
202508,서구,1849424,외지인 방문자
202508,수영구,4032794,외지인 방문자
