구군,연월,주요유료관광지입장객수,집계관광지수
사상구,202503,,
사상구,202504,,
사상구,202505,,
사상구,202506,,
사상구,202507,,
사상구,202508,,
사상구,202509,,
사상구,202510,,
사상구,202511,,
사상구,202512,,
사상구,202601,,
사상구,202602,,
사상구,202603,,
사상구,202604,,
사상구,202605,,
사상구,202606,,
기장군,202301,73492.0,2.0
기장군,202302,72212.0,2.0
기장군,202303,53606.0,2.0
기장군,202304,91834.0,2.0
기장군,202305,90018.0,2.0
기장군,202306,83082.0,2.0
기장군,202307,91492.0,2.0
기장군,202308,119213.0,2.0
기장군,202309,94226.0,2.0
기장군,202310,130345.0,2.0
기장군,202311,93779.0,2.0
기장군,202312,94185.0,2.0
기장군,202401,82760.0,2.0
기장군,202402,86721.0,2.0
기장군,202403,73770.0,2.0
기장군,202404,82602.0,2.0
기장군,202405,102364.0,2.0
기장군,202406,100515.0,2.0
기장군,202407,92437.0,2.0
기장군,202408,119642.0,2.0
기장군,202409,112592.0,2.0
기장군,202410,108007.0,2.0
기장군,202411,73286.0,2.0
기장군,202412,67702.0,2.0
기장군,202501,89675.0,2.0
기장군,202502,84876.0,2.0
기장군,202503,66491.0,2.0
기장군,202504,71637.0,2.0
기장군,202505,104817.0,2.0
기장군,202506,86111.0,2.0
기장군,202507,88524.0,2.0
기장군,202508,111726.0,2.0
기장군,202509,73030.0,2.0
기장군,202510,0.0,2.0
기장군,202511,0.0,2.0
기장군,202512,0.0,2.0
기장군,202601,0.0,2.0
기장군,202602,0.0,2.0
기장군,202603,0.0,2.0
기장군,202604,0.0,2.0
기장군,202605,0.0,2.0
기장군,202606,0.0,2.0
